1789066540.190225534,2184, 15.89, 96
1789066542.255252658,2184, 37.57, 96
1789066544.298680019,2184, 26.74, 0
1789066546.328284118,2184, 31.77, 96
1789066548.360845452,2184, 38.77, 96
1789066550.401903584,2184, 11.92, 0
1789066552.435215934,2184, 35.01, 96
1789066554.479977345,2184, 35.62, 96
1789066556.521517501,2184, 11.89, 0
1789066558.551686225,2184, 32.75, 96
1789066560.609558317,2184, 37.27, 96
1789066562.669002305,2184, 22.51, 96
1789066564.716849150,2184, 39.51, 96
1789066566.772211004,2184, 25.46, 0
1789066568.807575987,2184, 31.53, 96
1789066570.850957019,2184, 40.10, 96
1789066572.896213689,2184, 17.41, 0
1789066574.927675193,2184, 37.61, 96
1789066576.976588886,2184, 39.07, 96
1789066579.035064157,2184, 11.99, 0
1789066581.067237812,2184, 38.26, 96
1789066583.120054028,2184, 39.91, 96
1789066585.178939932,2184, 11.85, 0
1789066587.213718724,2184, 37.28, 96
1789066589.272311249,2177, 40.35, 96
1789066591.316644098,2184, 31.59, 96
1789066593.362475305,2184, 11.85, 0
1789066595.395977244,2184, 11.67, 0
1789066597.430356604,2184, 11.51, 0
1789066599.463108064,2184, 11.52, 0
1789066601.491819840,2184, 11.43, 0
1789066603.521640395,2184, 11.37, 0
1789066605.550489431,2184, 11.37, 0
1789066607.579255330,2184, 11.26, 0
1789066609.606942159,2184, 11.22, 0
1789066611.635776823,2184, 11.21, 0
1789066613.665161019,2184, 11.12, 0
1789066615.694629724,2184, 11.11, 0
1789066617.722235890,2184, 11.12, 0
1789066619.751705855,2184, 11.10, 0
1789066621.779960911,2184, 11.08, 0
1789066623.809024186,2184, 11.22, 0
1789066625.838210083,2184, 11.12, 0
1789066627.867794795,2184, 11.06, 0
1789066629.916749238,2184, 11.06, 0
1789066631.949999388,2184, 11.06, 0
1789066633.977765956,2184, 10.98, 0
1789066636.006276790,2184, 11.02, 0
1789066638.035342358,2184, 10.96, 0
1789066640.065077505,2184, 10.91, 0
1789066642.092861617,2184, 10.96, 0
1789066644.121692221,2184, 10.91, 0
1789066646.150785045,2184, 10.93, 0
1789066648.182519603,2184, 10.85, 0
1789066650.216902644,2184, 10.85, 0
1789066652.249890570,2184, 10.87, 0
1789066654.281806385,2184, 10.83, 0
1789066656.314146965,2184, 10.82, 0
